False Positive Rate(%), True Positive Rate(%), Thresholds
0.0, 0.0, inf
0.0, 0.01, 0.8827449679374695
0.0, 0.2, 0.42058202624320984
0.01, 0.2, 0.4186253845691681
0.01, 0.35, 0.31746894121170044
0.03, 0.35, 0.3143722414970398
0.03, 0.42, 0.27532708644866943
0.06, 0.42, 0.26450133323669434
0.06, 0.43, 0.26054856181144714
0.07, 0.43, 0.2601540684700012
0.07, 0.47, 0.23756012320518494
0.08, 0.47, 0.23529215157032013
0.08, 0.51, 0.22808149456977844
0.09, 0.51, 0.22750422358512878
0.09, 0.6, 0.2027210146188736
0.12, 0.6, 0.20036686956882477
0.12, 0.61, 0.19363494217395782
0.13, 0.61, 0.19200082123279572
0.13, 0.62, 0.18984955549240112
0.15, 0.62, 0.187022402882576
0.15, 0.64, 0.16835933923721313
0.16, 0.64, 0.16548015177249908
0.16, 0.65, 0.1654534637928009
0.18, 0.65, 0.15880094468593597
0.18, 0.66, 0.15725649893283844
0.23, 0.66, 0.14670293033123016
0.23, 0.7, 0.13906560838222504
0.24, 0.7, 0.13840915262699127
0.24, 0.71, 0.13791382312774658
0.29, 0.71, 0.126114159822464
0.29, 0.72, 0.1254647970199585
0.33, 0.72, 0.12370949238538742
0.33, 0.73, 0.12249927222728729
0.38, 0.73, 0.11295628547668457
0.38, 0.74, 0.11221516132354736
0.39, 0.74, 0.11083247512578964
0.39, 0.76, 0.10955886542797089
0.41, 0.76, 0.10773083567619324
0.41, 0.77, 0.10728085786104202
0.42, 0.77, 0.10697996616363525
0.42, 0.8, 0.09985131770372391
0.44, 0.8, 0.09547358006238937
0.44, 0.81, 0.09358211606740952
0.45, 0.81, 0.09213574975728989
0.45, 0.83, 0.0911569744348526
0.47, 0.83, 0.09098376333713531
0.47, 0.84, 0.0902600809931755
0.49, 0.84, 0.08874530345201492
0.49, 0.85, 0.08648631721735
0.5, 0.85, 0.08442706614732742
0.5, 0.86, 0.08272545784711838
0.53, 0.86, 0.08155208081007004
0.53, 0.88, 0.07982851564884186
0.54, 0.88, 0.07833924144506454
0.54, 0.89, 0.07832004874944687
0.55, 0.89, 0.07742226868867874
0.55, 0.91, 0.07697644084692001
0.59, 0.91, 0.07218848913908005
0.59, 0.92, 0.07207370549440384
0.6, 0.92, 0.07206584513187408
0.6, 0.94, 0.06751224398612976
0.61, 0.94, 0.06701970100402832
0.61, 0.96, 0.06503287702798843
0.68, 0.96, 0.05666748434305191
0.68, 0.97, 0.054894253611564636
0.72, 0.97, 0.04895903542637825
0.72, 0.98, 0.048855457454919815
0.81, 0.98, 0.040784068405628204
0.81, 0.99, 0.039868976920843124
0.86, 0.99, 0.035439204424619675
0.86, 1.0, 0.03542172163724899
1.0, 1.0, 0.012385310605168343
